store_nbr,family,model,wape,mape,bias_pct,test_weeks
49,BEVERAGES,sarimax_promo,0.13716803704090133,0.34470543880467236,0.08223048216025297,12
3,PRODUCE,naive,0.1292375660110001,0.2814514132101885,0.0049581866729523985,12
3,PRODUCE,seasonal_naive,0.09336201072796338,0.2508828460408567,0.03116586951789652,12
3,PRODUCE,moving_avg_8,0.1118822141144652,0.2752630407323737,0.04482703010536686,12
3,PRODUCE,ets,0.457983724852209,0.6612029159434911,0.457983724852209,12
3,PRODUCE,sarimax_promo,0.10081343149872683,0.17122244895943403,0.02107339844578745,12
51,GROCERY I,naive,0.15812720220083798,0.32172541984200226,-0.03837012850071433,12
51,GROCERY I,seasonal_naive,0.124915584769478,0.3078893465625849,0.006840891803962346,12
51,GROCERY I,moving_avg_8,0.13148160873511003,0.3073885665918202,0.00159826169787759,12
51,GROCERY I,ets,0.10561484795610893,0.28318480367931886,0.05282375901391903,12
51,GROCERY I,sarimax_promo,0.13141700689288743,0.36244406491638803,0.03843444925488581,12
49,PRODUCE,naive,0.137520169353533,0.3207158948793188,0.026861567483360164,12
49,PRODUCE,seasonal_naive,0.1400991083372296,0.32199922018643373,-0.01209907241463537,12
49,PRODUCE,moving_avg_8,0.1343603299836131,0.3365251335553991,0.08775890787241385,12
49,PRODUCE,ets,0.37436840126832244,0.6010668239628422,0.37436840126832244,12
49,PRODUCE,sarimax_promo,0.16516611195241337,0.2192029410502447,0.06734953214126008,12
8,GROCERY I,naive,0.14374689495558995,0.3338593998932562,0.004616670907702922,12
8,GROCERY I,seasonal_naive,0.13024343548172082,0.30983006174721656,-0.0031868358234274767,12
8,GROCERY I,moving_avg_8,0.12565221079161942,0.34587158063160084,0.09768802937220522,12
8,GROCERY I,ets,0.1294708527252522,0.3542456488138792,0.11563202624237581,12
8,GROCERY I,sarimax_promo,0.1406625903916085,0.4624519782402903,0.110312183956217,12
46,BEVERAGES,naive,0.14004576916372852,0.3912588073953546,0.046685671552834054,12
46,BEVERAGES,seasonal_naive,0.3174003414881907,0.46948553162439,-0.2221697432466114,12
46,BEVERAGES,moving_avg_8,0.14511420737067185,0.4047048524301184,0.06985982490764624,12
46,BEVERAGES,ets,0.16119110416613341,0.39563460874740497,0.09129078714813883,12
46,BEVERAGES,sarimax_promo,0.1500415415117158,0.34014163314687546,-0.0263914928191901,12
6,GROCERY I,naive,0.12764766259214302,0.3249515946808614,0.05235656089930889,12
6,GROCERY I,seasonal_naive,0.12466911891092823,0.28943974284267465,-0.0014855885631780263,12
6,GROCERY I,moving_avg_8,0.13306944696817125,0.3453446203324302,0.10228706973180804,12
6,GROCERY I,ets,0.13066159117431164,0.33053205216250486,0.1106335825913687,12
6,GROCERY I,sarimax_promo,0.10964829692788026,0.34360439997768283,0.08125410325486158,12
40,GROCERY I,naive,0.156144400950182,0.2745544242280182,-0.037184248385693654,12
40,GROCERY I,seasonal_naive,0.1600633454894216,0.2683329031472673,-0.0580548027702498,12
40,GROCERY I,moving_avg_8,0.13884595224553037,0.27232221398582945,0.01842818428184278,12
40,GROCERY I,ets,0.13936759195802428,0.2856228191945341,0.06303410472873565,12
40,GROCERY I,sarimax_promo,0.120718098433933,0.2501511168543546,0.02437314643331829,12
39,GROCERY I,naive,0.20222372254841406,0.3446183810034568,0.008370560098519218,12
39,GROCERY I,seasonal_naive,0.2625591983522071,0.3384298895110993,-0.18382878962632135,12
